Name,Probe_Name,Accession
hHC001751,hcm3^^scl39074^scl39074.4_205^exon_800^-19.4^525^8082,NM_005086.3
hHR001752,hcm3^^scl0000084455^scl0000084455.1_142^exon_400^-19.4^188^84455,NM_032437
hHR001753,hcm3^^scl000008679^scl000008679.1_100^exon_400^-19.4^230^8679,U53532
hHC001754,hcm3^^scl092935^scl092935.1_252^exon_400^-19.4^78^92935,NM_138395.2
hHC001755,hcm3^^scl28185^scl28185.6.1_68^island_800^-19.4^663^9420,NM_004820.2
hHC001756,hcm3^^scl098^scl098.4_236^exon_400^-19.4^94^98,NM_138448.2
hHR001757,hcm3^^scl0010075^scl0010075.1_144^exon_400^-19.5^186^10075,AB002310
hHC001758,hcm3^^scl15819^scl15819.4_586^exon_800^-19.5^144^10252,NM_005841.1
hHC001759,hcm3^^scl42349^scl42349.5_428^exon_800^-19.5^302^1073,NM_138638.1
hHC001760,hcm3^^scl50584^scl50584.8_17^exon_800^-19.5^713^124626,NM_198844.1
hHR001761,hcm3^^scl00126669^scl00126669.1_252^exon_400^-19.5^78^126669,AK074067
hHR001762,hcm3^^scl00158301^scl00158301.1_233^exon_400^-19.5^97^158301,AK057958
hHC001763,hcm3^^scl18386^scl18386.16.1_186^island_400^-19.5^145^202151,NM_145000.2
hHC001764,hcm3^^scl9664^scl9664.14_618^exon_800^-19.5^112^23314,NM_015265.1
hHC001765,hcm3^^scl18907^scl18907.5_701^exon_800^-19.5^29^255167,XM_374112.2
hHC001766,hcm3^^scl026059^scl026059.1_260^exon_400^-19.5^70^26059,NM_015576.1
hHC001767,hcm3^^scl25084^scl25084.20_65^exon_800^-19.5^665^27010,NM_022445.2
hHR001768,hcm3^^scl00000283038^scl00000283038.1_309^exon_400^-19.5^21^283038,BC033536
hHC001769,hcm3^^scl28079^scl28079.9_400^exon_800^-19.5^330^284,NM_001146.3
hHR001770,hcm3^^scl0029006^scl0029006.1_42^exon_600^-19.5^488^29006,AF113017
hHC001771,hcm3^^scl030001^scl030001.1_83^exon_1600^-19.5^1447^30001,NM_014584.1
hHC001772,hcm3^^scl03709^scl03709.1_318^exon_400^-19.5^12^3709,NM_002223.1
hHC001773,hcm3^^scl4535^scl4535.15_341^exon_800^-19.5^389^374986,NM_198549.1
hHR001774,hcm3^^scl00000389160^scl00000389160.1_171^exon_400^-19.5^159^389160,XM_374056
hHR001775,hcm3^^scl00000440852^scl00000440852.1_54^exon_400^-19.5^276^440852,XM_498892
hHR001776,hcm3^^scl00483^scl00483.1_253^exon_400^-19.5^77^483,NM_001679
hHR001777,hcm3^^scl0050862^scl0050862.1_43^exon_400^-19.5^287^50862,NM_016422
hHC001778,hcm3^^scl49767^scl49767.15_531^exon_800^-19.5^199^51,NM_004035.4
hHC001779,hcm3^^scl051276^scl051276.1_108^exon_2000^-19.5^1822^51276,-
hHC001780,hcm3^^scl15841^scl15841.11_405^exon_800^-19.5^325^55435,-
hHR001781,hcm3^^scl0057241^scl0057241.1_181^exon_400^-19.5^149^57241,AB007976
hHC001782,hcm3^^scl057405^scl057405.1_34^exon_600^-19.5^496^57405,NM_020675.3
hHR001783,hcm3^^scl0000057688^scl0000057688.1_275^exon_400^-19.5^55^57688,XM_035299.6
hHC001784,hcm3^^scl61948^scl61948.5.1_234^island_400^-19.5^97^6102,NM_006915.1
hHC001785,hcm3^^scl15935^scl15935.4.1_18^island_800^-19.5^765^6372,NM_002993.2
hHC001786,hcm3^^scl44589^scl44589.28_147^exon_800^-19.5^583^6557,-
hHC001787,hcm3^^scl51654^scl51654.11_94^exon_800^-19.5^636^6563,NM_015865.1
hHC001788,hcm3^^scl0663^scl0663.1_162^exon_400^-19.5^168^663,-
hHC001789,hcm3^^scl62334^scl62334.9_629^exon_800^-19.5^101^7544,NM_003411.2
hHC001790,hcm3^^scl07547^scl07547.3_30^exon_600^-19.5^513^7547,NM_003413.2
hHC001791,hcm3^^scl07884^scl07884.1_130^exon_400^-19.5^200^7884,NM_006527.2
hHC001792,hcm3^^scl39339^scl39339.12.1_71^island_400^-19.5^260^79023,NM_024057.2
hHC001793,hcm3^^scl079822^scl079822.11_56^exon_400^-19.5^274^79822,NM_030672.2
hHC001794,hcm3^^scl21883^scl21883.11_420^exon_800^-19.5^310^80129,NM_025059.2
hHR001795,hcm3^^scl0080311^scl0080311.1_167^exon_400^-19.5^163^80311,AB051464
hHR001796,hcm3^^scl000008451^scl000008451.1_275^exon_400^-19.5^55^8451,NM_001008895.1
hHR001797,hcm3^^scl0000084765^scl0000084765.1_51^exon_400^-19.5^279^84765,NM_032679
hHC001798,hcm3^^scl08545^scl08545.1_157^exon_400^-19.5^173^8545,NM_001008390.1
hHC001799,hcm3^^scl56987^scl56987.10.1_139^island_800^-19.5^592^8813,NM_003859.1
hHC001800,hcm3^^scl61419^scl61419.10.1_121^island_400^-19.5^210^90293,NM_033495.2
hHC001801,hcm3^^scl42323^scl42323.33_434^exon_800^-19.5^296^9147,-
hHC001802,hcm3^^scl9018^scl9018.4.1_168^island_400^-19.5^163^91752,NM_194250.1
hHC001803,hcm3^^scl09753^scl09753.1_29^exon_400^-19.5^301^9753,-
hHC001804,hcm3^^scl09836^scl09836.1_65^exon_400^-19.5^265^9836,NM_014793.3
hHC001805,hcm3^^scl09903^scl09903.1_175^exon_400^-19.5^155^9903,NM_014851.2
hHC001806,hcm3^^scl010200^scl010200.1_171^exon_400^-19.6^159^10200,-
hHR001807,hcm3^^scl0010645^scl0010645.1_259^exon_400^-19.6^71^10645,NM_172216.1
hHR001808,hcm3^^scl0010984^scl0010984.1_321^exon_400^-19.6^9^10984,AA155694
hHC001809,hcm3^^scl50602^scl50602.5_148^exon_800^-19.6^582^11072,NM_007026.1
hHC001810,hcm3^^scl0122481^scl0122481.18_77^exon_400^-19.6^253^122481,NM_152327.1
hHC001811,hcm3^^scl35558^scl35558.19.1_61^island_600^-19.6^470^143884,NM_152434.1
hHC001812,hcm3^^scl39573^scl39573.10_500^exon_800^-19.6^230^144165,-
hHC001813,hcm3^^scl51680^scl51680.16_92^exon_800^-19.6^638^147409,-
hHC001814,hcm3^^scl3972^scl3972.10_207^exon_800^-19.6^523^148641,NM_173508.1
hHR001815,hcm3^^scl00000161291^scl00000161291.1_282^exon_400^-19.6^48^161291,NM_001017970.1
hHC001816,hcm3^^scl0185^scl0185.2_194^exon_400^-19.6^136^185,NM_000685.3
hHC001817,hcm3^^scl9306^scl9306.10.1_189^island_400^-19.6^142^200424,XM_371501.2
hHR001818,hcm3^^scl00220042^scl00220042.1_256^exon_400^-19.6^74^220042,NM_145018
hHC001819,hcm3^^scl15591^scl15591.39_35^exon_800^-19.6^695^23045,XM_093839.10
hHC001820,hcm3^^scl30170^scl30170.78_133^exon_800^-19.6^597^23230,NM_033305.2
hHC001821,hcm3^^scl023286^scl023286.9_59^exon_400^-19.6^271^23286,NM_015238.1
hHC001822,hcm3^^scl18843^scl18843.24_235^exon_800^-19.6^495^23530,NM_012343.2
hHC001823,hcm3^^scl40710^scl40710.9_245^exon_800^-19.6^485^26586,NM_018204.2
hHC001824,hcm3^^scl61978^scl61978.3.1_16^island_400^-19.6^315^286514,NM_173699.1
hHC001825,hcm3^^scl03486^scl03486.1_45^exon_400^-19.6^285^3486,NM_001013398.1
hHC001826,hcm3^^scl58074^scl58074.8.1_16^island_600^-19.6^473^149998,NM_198996.2
hHR001827,hcm3^^scl00000391712^scl00000391712.1_245^exon_400^-19.6^85^391712,NM_001012414
hHR001828,hcm3^^scl00000440849^scl00000440849.1_307^exon_400^-19.6^23^440849,XM_496545
hHC001829,hcm3^^scl05042^scl05042.1_25^exon_400^-19.6^346^5042,NM_030979.2
hHR001830,hcm3^^scl0000051319^scl0000051319.1_191^exon_400^-19.6^139^51319,NM_016625
hHC001831,hcm3^^scl40777^scl40777.8_319^exon_800^-19.6^411^51371,-
hHC001832,hcm3^^scl39565^scl39565.14_218^exon_800^-19.6^512^54407,NM_018976.3
hHR001833,hcm3^^scl0000054660^scl0000054660.1_133^exon_400^-19.6^197^54660,NR_001281.1
hHC001834,hcm3^^scl25180^scl25180.5_588^exon_800^-19.6^142^5506,NM_002711.2
hHC001835,hcm3^^scl5537^scl5537.5_184^exon_800^-19.6^546^55970,NM_018841.3
hHC001836,hcm3^^scl055973^scl055973.8_8^exon_2000^-19.6^1922^55973,NM_018844.2
hHR001837,hcm3^^scl0000056755^scl0000056755.1_126^exon_400^-19.6^204^56755,AK093816
hHC001838,hcm3^^scl12638^scl12638.11_292^exon_800^-19.6^438^57088,NM_020353.1
hHR001839,hcm3^^scl000005906^scl000005906.1_313^exon_400^-19.6^17^5906,NM_001010935.1
hHC001840,hcm3^^scl4194^scl4194.3_564^exon_800^-19.6^166^6375,NM_002995.1
hHR001841,hcm3^^scl0064062^scl0064062.1_138^exon_400^-19.6^192^64062,NM_022118
hHC001842,hcm3^^scl12530^scl12530.5.1_7^island_1200^-19.6^1143^6434,NM_004593.1
hHC001843,hcm3^^scl066037^scl066037.1_28^exon_1400^-19.6^1363^66037,NM_197970.1
hHC001844,hcm3^^scl59528^scl59528.5_32^exon_800^-19.6^698^7078,NM_000362.3
hHC001845,hcm3^^scl30166^scl30166.27_315^exon_800^-19.6^415^7091,NM_007005.3
hHR001846,hcm3^^scl007398^scl007398.1_184^exon_400^-19.6^146^7398,NM_001017416.1
hHC001847,hcm3^^scl12844^scl12844.5_30^exon_1400^-19.6^1352^7474,NM_003392.3
hHC001848,hcm3^^scl13228^scl13228.13_532^exon_800^-19.6^198^79876,NM_198329.1
hHC001849,hcm3^^scl21911^scl21911.12.1_25^island_800^-19.6^706^8504,NM_003630.1
hHR001850,hcm3^^scl000008546^scl000008546.1_312^exon_400^-19.6^18^8546,NM_003664
hHC001851,hcm3^^scl08863^scl08863.21_69^exon_400^-19.6^261^8863,NM_016831.1
hHC001852,hcm3^^scl097^scl097.1_264^exon_400^-19.6^66^97,NM_203488.1
hHC001853,hcm3^^scl38917^scl38917.26_149^exon_800^-19.6^581^9958,NM_006313.1
hHC001854,hcm3^^scl9318^scl9318.11.1_117^island_400^-19.7^172^10199,NM_005791.1
hHC001855,hcm3^^scl010333^scl010333.1_21^exon_400^-19.7^309^10333,NM_006068.2
hHC001856,hcm3^^scl0116496^scl0116496.1_71^exon_3400^-19.7^3259^116496,NM_052966.1
hHC001857,hcm3^^scl9375^scl9375.23.1_21^island_400^-19.7^338^129285,NM_152994.2
hHC001858,hcm3^^scl9640^scl9640.12.1_47^island_800^-19.7^684^130752,NM_206892.1
hHR001859,hcm3^^scl00000131909^scl00000131909.1_223^exon_400^-19.7^107^131909,AK127584
hHR001860,hcm3^^scl00000152559^scl00000152559.1_209^exon_400^-19.7^121^152559,NM_177453
hHC001861,hcm3^^scl28108^scl28108.6_59^exon_800^-19.7^671^157657,NM_177965.2
hHR001862,hcm3^^scl00000158696^scl00000158696.1_46^exon_800^-19.7^684^158696,XM_498441.1
hHC001863,hcm3^^scl39345^scl39345.15_359^exon_800^-19.7^371^160728,NM_145913.2
hHC001864,hcm3^^scl51848^scl51848.17_429^exon_800^-19.7^301^1825,NM_001941.2
hHC001865,hcm3^^scl0221662^scl0221662.2_56^exon_400^-19.7^274^221662,NM_153020.1
hHR001866,hcm3^^scl0022837^scl0022837.1_166^exon_400^-19.7^164^22837,NM_014900
hHR001867,hcm3^^scl0000023120^scl0000023120.1_264^exon_400^-19.7^66^23120,AB018258
hHC001868,hcm3^^scl023168^scl023168.18_80^exon_400^-19.7^250^23168,NM_015138.2
hHR001869,hcm3^^scl0023236^scl0023236.1_24^exon_400^-19.7^306^23236,NM_182734.1
hHR001870,hcm3^^scl00000257218^scl00000257218.1_257^exon_400^-19.7^73^257218,NM_173082
hHC001871,hcm3^^scl61602^scl61602.13.1_69^island_400^-19.7^262^257397,NM_198312.1
hHC001872,hcm3^^scl025927^scl025927.1_127^exon_400^-19.7^203^25927,NM_015463.1
hHC001873,hcm3^^scl02669^scl02669.1_249^exon_400^-19.7^81^2669,NM_181702.1
hHC001874,hcm3^^scl25924^scl25924.8_38^exon_1200^-19.7^1092^27297,-
hHC001875,hcm3^^scl57245^scl57245.5.1_148^island_400^-19.7^183^284756,NM_173644.1
hHR001876,hcm3^^scl00285501^scl00285501.1_308^exon_400^-19.7^22^285501,XM_209640.3
hHC001877,hcm3^^scl18255^scl18255.5_19^exon_800^-19.7^711^285600,NM_173665.1
hHR001878,hcm3^^scl00340544^scl00340544.1_268^exon_400^-19.7^62^340544,BC043382
hHR001879,hcm3^^scl00000347273^scl00000347273.1_211^exon_400^-19.7^119^347273,NM_001018116.1
hHC001880,hcm3^^scl9013^scl9013.31_310^exon_800^-19.7^420^3685,NM_002210.2
hHC001881,hcm3^^scl3973^scl3973.13_439^exon_800^-19.7^291^3775,-
hHC001882,hcm3^^scl15580^scl15580.30_362^exon_800^-19.7^368^3791,NM_002253.1
hHC001883,hcm3^^scl0387836^scl0387836.1_234^exon_400^-19.7^0^387836,NM_207375.1
hHC001884,hcm3^^scl0392255^scl0392255.1_128^exon_400^-19.7^202^392255,NM_001001557.1
hHC001885,hcm3^^scl04068^scl04068.4_36^exon_1800^-19.7^1694^4068,NM_002351.1
hHR001886,hcm3^^scl00000441068^scl00000441068.1_304^exon_400^-19.7^26^441068,XM_496743
hHR001887,hcm3^^scl00000441381^scl00000441381.1_29^exon_400^-19.7^301^441381,XM_496997
hHR001888,hcm3^^scl00460^scl00460.1_151^exon_400^-19.7^179^460,NM_004319
hHC001889,hcm3^^scl27670^scl27670.23_316^exon_800^-19.7^414^51105,NM_016018.3
hHC001890,hcm3^^scl051321^scl051321.5_30^exon_600^-19.7^524^51321,NM_016627.3
hHC001891,hcm3^^scl051643^scl051643.1_65^exon_1000^-19.7^865^51643,NM_016056.1
hHC001892,hcm3^^scl25288^scl25288.23.1_30^island_400^-19.7^335^5189,NM_000466.1
hHR001893,hcm3^^scl00523^scl00523.1_44^exon_400^-19.7^286^523,NM_001690
hHC001894,hcm3^^scl8863^scl8863.17_35^exon_800^-19.7^695^55054,NM_030803.5
hHC001895,hcm3^^scl15415^scl15415.19_200^exon_800^-19.7^530^55212,NM_176824.1
hHC001896,hcm3^^scl9184^scl9184.20.1_152^island_400^-19.7^179^55289,NM_018308.1
hHC001897,hcm3^^scl26054^scl26054.14_564^exon_800^-19.7^166^55975,NM_018846.2
hHR001898,hcm3^^scl0057495^scl0057495.1_107^exon_400^-19.7^223^57495,XM_049078.5
hHC001899,hcm3^^scl42639^scl42639.24_75^exon_800^-19.7^655^57697,XM_048128.9
hHC001900,hcm3^^scl059336^scl059336.4_165^exon_400^-19.7^165^59336,NM_021620.2
hHC001901,hcm3^^scl49853^scl49853.21_228^exon_800^-19.7^502^63897,-
hHC001902,hcm3^^scl4132^scl4132.7_153^exon_800^-19.7^577^64407,NM_130782.2
hHC001903,hcm3^^scl064747^scl064747.16_168^exon_400^-19.7^162^64747,NM_022736.1
hHC001904,hcm3^^scl07071^scl07071.4_5^exon_800^-19.7^761^7071,NM_005655.1
hHC001905,hcm3^^scl12931^scl12931.11.1_206^island_400^-19.7^125^79442,NM_024512.2
hHC001906,hcm3^^scl079614^scl079614.1_200^exon_400^-19.7^130^79614,NM_024563.2
hHC001907,hcm3^^scl51796^scl51796.14_266^exon_800^-19.7^464^80323,NM_025214.1
hHC001908,hcm3^^scl081846^scl081846.1_170^exon_800^-19.7^560^81846,NM_030962.1
hHC001909,hcm3^^scl5505^scl5505.3.1_62^island_800^-19.7^669^84144,-
hHC001910,hcm3^^scl22446^scl22446.11_362^exon_800^-19.7^368^8417,-
hHR001911,hcm3^^scl0084294^scl0084294.1_280^exon_400^-19.7^50^84294,NM_032334
hHC001912,hcm3^^scl57476^scl57476.31_499^exon_800^-19.7^231^8455,-
hHC001913,hcm3^^scl089894^scl089894.1_312^exon_400^-19.7^18^89894,NM_138341.1
hHR001914,hcm3^^scl0000093654^scl0000093654.1_41^exon_400^-19.7^289^93654,AF400042
hHR001915,hcm3^^scl009456^scl009456.1_5^exon_400^-19.7^325^9456,NM_004272
hHC001916,hcm3^^scl09510^scl09510.1_155^exon_400^-19.7^175^9510,NM_006988.3
hHC001917,hcm3^^scl16065^scl16065.10_550^exon_800^-19.7^180^9778,NM_014743.1
hHC001918,hcm3^^scl39618^scl39618.28.41_28^island_1600^-19.7^1547^9847,NM_014802.1
hHC001919,hcm3^^scl011066^scl011066.2_216^exon_400^-19.8^114^11066,NM_022717.2
hHR001920,hcm3^^scl0011166^scl0011166.1_226^exon_400^-19.8^104^11166,NM_007084
hHR001921,hcm3^^scl0011238^scl0011238.1_155^exon_400^-19.8^175^11238,NM_007220
hHC001922,hcm3^^scl50094^scl50094.2.1_62^island_800^-19.8^669^116236,NM_198147.1
hHC001923,hcm3^^scl27785^scl27785.17.1_133^island_400^-19.8^198^116328,NM_052958.1
hHR001924,hcm3^^scl00000126637^scl00000126637.1_325^exon_400^-19.8^5^126637,NM_001008536
hHC001925,hcm3^^scl0132789^scl0132789.1_239^exon_400^-19.8^91^132789,NM_138335.1
hHR001926,hcm3^^scl00147670^scl00147670.1_161^exon_400^-19.8^169^147670,AK095199
hHC001927,hcm3^^scl12504^scl12504.12_380^exon_800^-19.8^350^152002,-
hHC001928,hcm3^^scl27722^scl27722.65.1_92^island_400^-19.8^239^157680,NM_017890.3
hHC001929,hcm3^^scl22553^scl22553.9_44^exon_800^-19.8^686^167691,NM_181714.1
hHC001930,hcm3^^scl32448^scl32448.55_322^exon_800^-19.8^408^1793,-
hHC001931,hcm3^^scl02124^scl02124.1_151^exon_400^-19.8^179^2124,NM_006495.2
hHC001932,hcm3^^scl0219988^scl0219988.1_313^exon_400^-19.8^17^219988,NM_152716.1
hHC001933,hcm3^^scl0220965^scl0220965.1_154^exon_400^-19.8^176^220965,NM_001001971.1
hHR001934,hcm3^^scl0022925^scl0022925.1_307^exon_400^-19.8^23^22925,NM_007366
hHC001935,hcm3^^scl47159^scl47159.8_526^exon_800^-19.8^204^23594,NM_014321.2
hHC001936,hcm3^^scl44252^scl44252.4.1_25^island_400^-19.8^402^256586,-
hHC001937,hcm3^^scl25507^scl25507.5_254^exon_800^-19.8^476^25928,NM_015464.1
hHC001938,hcm3^^scl59207^scl59207.19_144^exon_800^-19.8^586^26286,NM_014570.3
hHC001939,hcm3^^scl51912^scl51912.4_353^exon_800^-19.8^377^27164,NM_171999.1
hHC001940,hcm3^^scl18331^scl18331.13.1_2^island_400^-19.8^329^27292,NM_014473.2
hHC001941,hcm3^^scl02825^scl02825.1_112^exon_400^-19.8^218^2825,NM_005279.2
hHR001942,hcm3^^scl00000282980^scl00000282980.1_162^exon_400^-19.8^168^282980,AK097474
hHR001943,hcm3^^scl00000283463^scl00000283463.1_230^exon_400^-19.8^100^283463,XM_495921.1
hHC001944,hcm3^^scl4999^scl4999.17_347^exon_800^-19.8^383^286826,NM_173083.2
hHR001945,hcm3^^scl003091^scl003091.1_198^exon_400^-19.8^132^3091,NM_181054.1
hHC001946,hcm3^^scl03185^scl03185.1_1^exon_800^-19.8^729^3185,NM_004966.2
hHC001947,hcm3^^scl28078^scl28078.7_525^exon_800^-19.8^205^340419,NM_178565.3
hHC001948,hcm3^^scl03419^scl03419.11_14^exon_1000^-19.8^916^3419,NM_005530.2
hHC001949,hcm3^^scl9052^scl9052.26_456^exon_800^-19.8^274^3655,NM_000210.1
hHR001950,hcm3^^scl00376108^scl00376108.1_32^exon_400^-19.8^298^120892,AK127729
hHR001951,hcm3^^scl00000387872^scl00000387872.1_204^exon_400^-19.8^126^387872,XM_373540
hHR001952,hcm3^^scl00389090^scl00389090.1_297^exon_400^-19.8^33^389090,NM_001001962
hHR001953,hcm3^^scl004163^scl004163.1_330^exon_400^-19.8^0^4163,NM_002387
hHR001954,hcm3^^scl00000441138^scl00000441138.1_18^exon_400^-19.8^312^441138,XM_499029
hHC001955,hcm3^^scl3964^scl3964.32_667^exon_800^-19.8^63^4548,NM_000254.1
hHC001956,hcm3^^scl4245^scl4245.24_446^exon_800^-19.8^284^477,NM_000702.2
hHC001957,hcm3^^scl0491^scl0491.1_37^exon_2200^-19.8^2093^491,NM_001683.2
hCN001958,Random|corinne|150275298|662356677|45,-
hHC001959,hcm3^^scl050515^scl050515.3_1^exon_400^-19.8^329^50515,NM_018413.2
hHC001960,hcm3^^scl051334^scl051334.3_193^exon_400^-19.8^137^51334,NM_016644.1
hHC001961,hcm3^^scl051339^scl051339.2_219^exon_400^-19.8^111^51339,NM_016651.4
hHR001962,hcm3^^scl00000518^scl00000518.1_235^exon_400^-19.8^95^518,NM_001002256.1
hHC001963,hcm3^^scl05359^scl05359.1_199^exon_400^-19.8^131^5359,NM_021105.1
hHR001964,hcm3^^scl0000054077^scl0000054077.1_166^exon_400^-19.8^164^54077,AA017197
hHC001965,hcm3^^scl055529^scl055529.1_50^exon_400^-19.8^280^55529,NM_018710.1
hHC001966,hcm3^^scl057688^scl057688.1_279^exon_400^-19.8^51^57688,XM_035299.6
hHR001967,hcm3^^scl005903^scl005903.1_253^exon_400^-19.8^77^5903,NM_006267
hHC001968,hcm3^^scl29985^scl29985.5.1_143^island_400^-19.8^188^59335,NM_021619.2
hHC001969,hcm3^^scl22481^scl22481.37.1_2^island_800^-19.8^729^5980,NM_002912.1
hHC001970,hcm3^^scl18788^scl18788.17_547^exon_800^-19.8^183^64087,-
hHC001971,hcm3^^scl4956^scl4956.2_426^exon_800^-19.8^304^64388,NM_022469.2
hHR001972,hcm3^^scl006891^scl006891.1_328^exon_400^-19.8^2^6891,NM_000544
hHR001973,hcm3^^scl007078^scl007078.1_293^exon_400^-19.8^37^7078,NM_000362
hHC001974,hcm3^^scl51705^scl51705.9_234^exon_800^-19.8^496^753,NM_001003675.1
hHC001975,hcm3^^scl35586^scl35586.13_76^exon_800^-19.8^654^79780,-
hHR001976,hcm3^^scl0081059^scl0081059.1_236^exon_400^-19.8^94^442197,N30823
hHC001977,hcm3^^scl4120^scl4120.10.1_167^island_400^-19.8^164^81494,-
hHC001978,hcm3^^scl083989^scl083989.1_61^exon_1400^-19.8^1269^83989,NM_032042.3
hHC001979,hcm3^^scl32711^scl32711.7_106^exon_800^-19.8^624^84457,NM_032439.1
hHR001980,hcm3^^scl0084640^scl0084640.1_186^exon_400^-19.8^144^84640,NM_032557
hHC001981,hcm3^^scl084894^scl084894.1_21^exon_800^-19.8^709^84894,NM_032808.5
hHC001982,hcm3^^scl28075^scl28075.12_571^exon_800^-19.8^159^84955,NM_032869.2
hHC001983,hcm3^^scl50156^scl50156.13.1_29^island_600^-19.8^502^8533,NM_003653.2
hHR001984,hcm3^^scl0085465^scl0085465.1_295^exon_400^-19.8^35^85465,NM_033505
hHC001985,hcm3^^scl25744^scl25744.4_254^exon_800^-19.8^476^858,NM_198212.1
hHC001986,hcm3^^scl30279^scl30279.8_198^exon_800^-19.8^532^90865,NM_033439.2
hHR001987,hcm3^^scl0094236^scl0094236.1_59^exon_400^-19.8^271^94236,AF395440
hHC001988,hcm3^^scl40564^scl40564.14.1_30^island_800^-19.8^775^9617,NM_004294.2
hHR001989,hcm3^^scl00000988^scl00000988.1_224^exon_400^-19.8^106^988,NM_001253
hHR001990,hcm3^^scl000009928^scl000009928.1_144^exon_400^-19.8^186^9928,NM_014875.1
hHC001991,hcm3^^scl40698^scl40698.19.1_16^island_600^-19.9^515^10464,NM_006346.2
hHR001992,hcm3^^scl0010492^scl0010492.1_268^exon_400^-19.9^62^10492,NM_006372
hHC001993,hcm3^^scl49847^scl49847.13_202^exon_800^-19.9^528^10513,NM_006380.2
hHR001994,hcm3^^scl0010558^scl0010558.1_62^exon_400^-19.9^268^10558,NM_006415
hHC001995,hcm3^^scl011148^scl011148.8_38^exon_600^-19.9^492^11148,NM_007072.2
hHC001996,hcm3^^scl011177^scl011177.4_120^exon_400^-19.9^210^11177,NM_182648.1
hHC001997,hcm3^^scl28213^scl28213.8_11^exon_800^-19.9^719^115294,NM_052937.1
hHC001998,hcm3^^scl0120892^scl0120892.8_19^exon_1000^-19.9^992^120892,XM_058513.9
hHC001999,hcm3^^scl13325^scl13325.19.1_161^island_400^-19.9^170^131368,NM_175056.1
hHR002000,hcm3^^scl00000139542^scl00000139542.1_208^exon_400^-19.9^122^139542,XM_066752
hHR002001,hcm3^^scl00144348^scl00144348.1_270^exon_400^-19.9^60^144348,NM_152437
hHC002002,hcm3^^scl38697^scl38697.13.1_111^island_400^-19.9^37^144678,XM_378390.1
hHR002003,hcm3^^scl00147991^scl00147991.1_120^exon_400^-19.9^210^147991,NM_207325
hHR002004,hcm3^^scl00000149832^scl00000149832.1_265^exon_400^-19.9^65^149832,AK123831
hHC002005,hcm3^^scl9090^scl9090.9.1_261^island_400^-19.9^70^151531,NM_173355.2
hHR002006,hcm3^^scl00154091^scl00154091.1_255^exon_400^-19.9^75^154091,NM_145176
hHC002007,hcm3^^scl28076^scl28076.5.1_37^island_600^-19.9^494^157753,-
hHR002008,hcm3^^scl00157922^scl00157922.1_252^exon_400^-19.9^78^157922,NM_015447
hHR002009,hcm3^^scl00000161823^scl00000161823.1_32^exon_400^-19.9^298^161823,NM_001012969
hHC002010,hcm3^^scl61970^scl61970.16.1_31^island_400^-19.9^300^170063,NM_152632.1
hHC002011,hcm3^^scl33196^scl33196.15_386^exon_800^-19.9^344^1787,NM_004412.3
hHR002012,hcm3^^scl0018^scl0018.1_185^exon_400^-19.9^145^18,NM_020686.3
hHR002013,hcm3^^scl001859^scl001859.1_291^exon_400^-19.9^39^1859,NM_101395.1
hHC002014,hcm3^^scl9222^scl9222.32_3^exon_800^-19.9^793^200403,-
hHC002015,hcm3^^scl0203427^scl0203427.5_207^exon_400^-19.9^123^203427,NM_145305.1
hHC002016,hcm3^^scl15297^scl15297.25_193^exon_800^-19.9^537^2180,NM_001995.2
hHC002017,hcm3^^scl0220^scl0220.10_323^exon_400^-19.9^7^220,NM_000693.1
hHC002018,hcm3^^scl18201^scl18201.73_36^exon_800^-19.9^694^2201,NM_001999.3
hHR002019,hcm3^^scl002246^scl002246.1_213^exon_400^-19.9^117^2246,NM_000800.2
hHC002020,hcm3^^scl18256^scl18256.17.1_249^island_400^-19.9^82^23004,XM_371761.2
hHR002021,hcm3^^scl0023199^scl0023199.1_276^exon_400^-19.9^54^23199,NM_014615
hHC002022,hcm3^^scl023250^scl023250.3_24^exon_3200^-19.9^3185^23250,NM_032189.2
hHC002023,hcm3^^scl25451^scl25451.7_183^exon_800^-19.9^547^25948,NM_015483.1
hHC002024,hcm3^^scl3977^scl3977.18_193^exon_800^-19.9^537^27185,NM_001012957.1
hHC002025,hcm3^^scl25869^scl25869.8_75^exon_800^-19.9^655^2770,NM_002069.4
hHC002026,hcm3^^scl0282809^scl0282809.1_163^exon_400^-19.9^167^282809,-
hHR002027,hcm3^^scl00283079^scl00283079.1_176^exon_400^-19.9^154^283079,AL080132
hHC002028,hcm3^^scl0283489^scl0283489.1_256^exon_400^-19.9^74^283489,NM_032436.1
hHR002029,hcm3^^scl00284576^scl00284576.1_320^exon_400^-19.9^10^284576,AK090497
hHR002030,hcm3^^scl00285025^scl00285025.1_274^exon_400^-19.9^56^285025,NM_173648
hHR002031,hcm3^^scl00000285205^scl00000285205.1_244^exon_400^-19.9^86^285205,XM_211805.2
hHC002032,hcm3^^scl18473^scl18473.5_369^exon_800^-19.9^361^285676,NM_182594.1
hHR002033,hcm3^^scl0028994^scl0028994.1_184^exon_400^-19.9^146^28994,AF111846
hHC002034,hcm3^^scl029942^scl029942.1_24^exon_400^-19.9^306^29942,NM_013357.2
hHR002035,hcm3^^scl0000029979^scl0000029979.1_0^exon_400^-19.9^330^29979,NM_013438
hHC002036,hcm3^^scl9111^scl9111.10_312^exon_800^-19.9^418^3176,NM_006895.2
